Drone,RouteIndex,LegIndex,OriginName,OriginLongitude_deg,OriginLatitude_deg,OriginAltitude_mWGS84,DestName,DestLongitude_deg,DestLatitude_deg,DestAltitude_mWGS84,StraightLineDist_m,ActualFlownDist_m,DetourRatio,WaypointCount,DepartureSimTime,ArrivalSimTime,LegDuration_simUnits,CruiseSpeed_mps,AvgSpeed_mps,DepartBattery_pct,ArriveBattery_pct,DepartCargo,ArriveCargo,DestReadyTime,DestDueTime,ArrivedOnTime,DistanceUnit,TimeUnit,SpeedUnit,AltitudeUnit,CoordSystem
V05,6,0,Depot,121.550259,29.870000,25.0,C175,121.545597,29.862763,25.0,921.8,949.9,1.030,7,0.00,83.06,83.06,15.0,11.4,100.0,98.8,200,200,262.0,329.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,7,0,Depot,121.550259,29.870000,25.0,C131,121.552331,29.881760,25.0,1322.9,1356.2,1.025,5,0.00,90.16,90.16,15.0,15.0,100.0,98.7,200,200,80.0,153.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03,8,0,Depot,121.550259,29.870000,25.0,C090,121.543525,29.862310,25.0,1073.6,1115.3,1.039,5,0.00,97.99,97.99,15.0,11.4,100.0,98.5,200,200,641.0,697.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,0,Depot,121.550259,29.870000,25.0,C178,121.561136,29.873619,25.0,1123.3,1171.3,1.043,6,0.00,106.09,106.09,15.0,11.0,100.0,98.4,200,200,88.0,141.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,7,1,C131,121.552331,29.881760,35.0,C044,121.552331,29.883117,25.0,151.2,160.9,1.064,4,91.47,108.77,17.30,15.0,9.3,98.7,98.4,170,170,176.0,243.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10,1,0,Depot,121.550259,29.870000,25.0,C026,121.566834,29.885379,25.0,2340.6,2385.7,1.019,5,0.00,118.17,118.17,15.0,20.2,100.0,98.2,200,200,201.0,258.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,7,2,C044,121.552331,29.883117,45.0,C102,121.553367,29.883117,25.0,101.9,109.9,1.079,4,110.28,122.29,12.01,15.0,9.1,98.4,98.3,150,150,273.0,330.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,1,C178,121.561136,29.873619,35.0,C027,121.562172,29.872262,25.0,181.2,191.0,1.054,4,107.43,133.75,26.32,15.0,7.3,98.4,98.1,190,190,178.0,238.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10,1,1,C026,121.566834,29.885379,35.0,C152,121.567352,29.886284,25.0,112.7,122.3,1.085,4,119.48,139.67,20.19,15.0,6.1,98.2,98.0,180,180,296.0,347.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,7,3,C102,121.553367,29.883117,55.0,C146,121.553885,29.883570,25.0,77.0,100.9,1.311,4,123.66,141.01,17.35,15.0,5.8,98.3,98.1,130,130,356.0,429.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10,1,2,C152,121.567352,29.886284,45.0,C040,121.567870,29.886284,25.0,53.8,59.9,1.114,4,141.01,149.95,8.94,15.0,6.7,98.0,97.9,150,150,390.0,434.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,2,C027,121.562172,29.872262,45.0,C173,121.563208,29.873166,25.0,143.2,151.8,1.060,4,135.41,153.24,17.84,15.0,8.5,98.1,97.9,160,160,278.0,325.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,7,4,C146,121.553885,29.883570,65.0,C068,121.555439,29.882213,25.0,216.4,223.3,1.032,5,142.39,170.16,27.77,15.0,8.0,98.1,97.8,110,110,457.0,518.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10,1,3,C040,121.567870,29.886284,55.0,C153,121.569424,29.885831,25.0,160.8,168.0,1.045,4,151.56,170.16,18.60,15.0,9.0,97.9,97.7,130,130,472.0,539.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,3,C173,121.563208,29.873166,55.0,C154,121.563726,29.871809,25.0,161.7,168.9,1.044,4,154.87,172.77,17.91,15.0,9.4,97.9,97.6,150,150,351.0,437.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02,9,0,Depot,121.550259,29.870000,25.0,C041,121.570460,29.870452,25.0,1948.5,1994.9,1.024,7,0.00,190.71,190.71,15.0,10.5,100.0,96.8,200,200,95.0,163.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,4,C154,121.563726,29.871809,65.0,C024,121.564762,29.870000,25.0,228.2,234.6,1.028,4,174.19,197.62,23.43,15.0,10.0,97.6,97.3,140,140,467.0,511.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,7,5,C068,121.555439,29.882213,75.0,C076,121.554403,29.879951,25.0,275.2,280.6,1.020,4,171.49,199.00,27.51,15.0,10.2,97.8,97.4,100,100,555.0,610.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07,4,0,Depot,121.550259,29.870000,25.0,C119,121.528505,29.871809,25.0,2107.2,2127.2,1.009,4,0.00,199.00,199.00,15.0,10.7,100.0,97.0,200,200,188.0,260.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
