Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V10,1,11,200,200,0.0,1300.0,1300.0,14483,9,2,1110.4,100.0,79.6,20.4,Clarke-Wright Savings / Balanced,True
V09,2,13,200,200,0.0,1143.7,1143.7,11710,10,3,516.5,100.0,83.2,16.8,Clarke-Wright Savings / Balanced,True
V08,3,10,200,200,0.0,1466.2,1466.2,15272,2,8,3939.9,100.0,74.3,25.7,Clarke-Wright Savings / Balanced,True
V07,4,14,200,200,0.0,1146.9,1146.9,11676,10,4,549.8,100.0,82.1,17.9,Clarke-Wright Savings / Balanced,True
V06,5,12,200,200,0.0,1092.6,1092.6,11177,5,7,2409.5,100.0,81.5,18.5,Clarke-Wright Savings / Balanced,True
V05,6,10,200,200,0.0,1099.5,1099.5,11372,7,3,399.4,100.0,82.0,18.0,Clarke-Wright Savings / Balanced,True
V04,7,9,200,200,0.0,846.2,846.2,9061,9,0,0.0,100.0,90.9,9.1,Clarke-Wright Savings / Balanced,True
V03,8,10,200,200,0.0,1150.4,1150.4,11907,3,7,981.1,100.0,79.0,21.0,Clarke-Wright Savings / Balanced,True
V02,9,12,200,200,0.0,683.8,683.8,6874,9,3,179.6,100.0,88.5,11.5,Clarke-Wright Savings / Balanced,True
V01,10,12,200,200,0.0,1322.4,1322.4,13658,2,10,4020.1,100.0,77.6,22.4,Clarke-Wright Savings / Balanced,True
V02,11,1,10,200,683.8,1254.6,570.8,5977,0,1,688.3,88.5,79.3,9.2,Clarke-Wright Savings / Balanced,True
V04,12,1,20,200,846.2,1445.9,599.6,6262,0,1,788.9,90.9,81.1,9.7,Clarke-Wright Savings / Balanced,True
V06,13,1,20,200,1092.6,1692.6,600.0,6304,0,1,925.6,81.5,71.7,9.8,Clarke-Wright Savings / Balanced,True
V05,14,1,10,200,1099.5,1845.5,746.0,7854,0,1,899.9,82.0,69.9,12.0,Clarke-Wright Savings / Balanced,True
V09,15,1,20,200,1143.7,1724.4,580.8,6101,0,1,694.8,83.2,73.8,9.4,Clarke-Wright Savings / Balanced,True
V07,16,1,20,200,1146.9,1698.4,551.6,5795,0,1,418.2,82.1,73.1,9.0,Clarke-Wright Savings / Balanced,True
V03,17,1,20,200,1150.4,1955.5,805.2,8513,0,1,1255.9,79.0,65.9,13.1,Clarke-Wright Savings / Balanced,True
V02,18,1,10,200,1254.6,2044.4,789.8,8327,0,1,1166.6,79.3,66.6,12.8,Clarke-Wright Savings / Balanced,True
V10,19,1,20,200,1300.0,2080.6,780.6,8229,0,1,1121.3,79.6,66.8,12.7,Clarke-Wright Savings / Balanced,True
V01,20,1,20,200,1322.4,2086.5,764.1,8059,0,1,1042.1,77.6,65.1,12.4,Clarke-Wright Savings / Balanced,True
V04,21,1,20,200,1445.9,2185.5,739.6,7790,0,1,1047.3,81.1,69.1,12.0,Clarke-Wright Savings / Balanced,True
V08,22,1,10,200,1466.2,2052.8,586.6,6152,0,1,750.8,74.3,64.9,9.5,Clarke-Wright Savings / Balanced,True
V06,23,1,40,200,1692.6,2556.3,863.7,9164,0,1,1741.5,71.7,57.4,14.3,Clarke-Wright Savings / Balanced,True
V07,24,1,20,200,1698.4,2581.8,883.3,9376,0,1,1651.9,73.1,58.7,14.4,Clarke-Wright Savings / Balanced,True
V09,25,1,10,200,1724.4,2595.8,871.4,9241,0,1,1578.7,73.8,59.7,14.1,Clarke-Wright Savings / Balanced,True
V05,26,1,20,200,1845.5,2313.1,467.6,4912,0,1,1228.6,69.9,62.4,7.6,Clarke-Wright Savings / Balanced,True
V03,27,1,30,200,1955.5,2550.5,595.0,6270,0,1,1713.6,65.9,56.1,9.8,Clarke-Wright Savings / Balanced,True
V02,28,1,30,200,2044.4,2621.4,577.0,6131,0,1,1694.7,66.6,57.1,9.5,Clarke-Wright Savings / Balanced,True
V08,29,1,10,200,2052.8,2621.4,568.6,6005,0,1,1516.6,64.9,55.7,9.2,Clarke-Wright Savings / Balanced,True
V10,30,1,20,200,2080.6,2610.0,529.4,5620,0,1,1330.5,66.8,58.3,8.6,Clarke-Wright Savings / Balanced,True
V01,31,1,10,200,2086.5,2473.9,387.4,4073,0,1,2120.5,65.1,58.9,6.2,Clarke-Wright Savings / Balanced,True
V04,32,1,30,200,2185.5,2949.3,763.8,8268,0,1,2186.7,69.1,56.5,12.5,Clarke-Wright Savings / Balanced,True
V05,33,1,20,200,2313.1,3032.8,719.7,7807,0,1,1820.5,62.4,50.6,11.7,Clarke-Wright Savings / Balanced,True
V01,34,1,10,200,2473.9,3189.3,715.4,7766,0,1,1875.8,58.9,47.4,11.6,Clarke-Wright Savings / Balanced,True
V03,35,1,20,200,2550.5,2909.1,358.6,3880,0,1,2574.9,56.1,50.3,5.8,Clarke-Wright Savings / Balanced,True
V06,36,1,20,200,2556.3,3088.4,532.1,5767,0,1,2340.0,57.4,48.7,8.6,Clarke-Wright Savings / Balanced,True
V07,37,1,10,200,2581.8,3064.9,483.1,5268,0,1,2256.3,58.7,51.0,7.8,Clarke-Wright Savings / Balanced,True
V09,38,1,10,200,2595.8,3079.6,483.8,5266,0,1,2178.5,59.7,51.9,7.8,Clarke-Wright Savings / Balanced,True
V10,39,1,10,200,2610.0,3068.0,457.9,4982,0,1,2077.0,58.3,50.9,7.4,Clarke-Wright Savings / Balanced,True
V08,40,1,10,200,2621.4,3059.0,437.6,4772,0,1,1900.5,55.7,48.7,7.0,Clarke-Wright Savings / Balanced,True
V02,41,1,20,200,2621.4,3139.5,518.1,5628,0,1,2600.9,57.1,48.7,8.4,Clarke-Wright Savings / Balanced,True
V03,42,1,10,200,2909.1,3526.0,616.8,6686,0,1,2845.2,50.3,40.4,9.9,Clarke-Wright Savings / Balanced,True
V04,43,1,20,200,2949.3,3696.8,747.5,8171,0,1,2842.7,56.5,44.3,12.2,Clarke-Wright Savings / Balanced,True
V05,44,1,10,200,3032.8,3739.0,706.2,7771,0,1,2520.7,50.6,39.2,11.4,Clarke-Wright Savings / Balanced,True
V08,45,1,20,200,3059.0,3745.4,686.5,7551,0,1,2454.6,48.7,37.5,11.2,Clarke-Wright Savings / Balanced,True
V07,46,1,30,200,3064.9,3883.5,818.7,9247,0,1,3174.3,51.0,37.5,13.5,Clarke-Wright Savings / Balanced,True
V10,47,1,10,200,3068.0,3850.2,782.2,8815,0,1,2795.5,50.9,38.3,12.6,Clarke-Wright Savings / Balanced,True
V09,48,1,10,200,3079.6,3821.3,741.7,8323,0,1,2677.5,51.9,40.0,12.0,Clarke-Wright Savings / Balanced,True
V06,49,1,20,200,3088.4,3676.6,588.2,6395,0,1,2185.2,48.7,39.2,9.6,Clarke-Wright Savings / Balanced,True
V02,50,1,10,200,3139.5,3323.9,184.3,1942,0,1,3138.4,48.7,45.8,2.9,Clarke-Wright Savings / Balanced,True
V01,51,1,10,200,3189.3,3630.6,441.3,4720,0,1,2778.6,47.4,40.3,7.1,Clarke-Wright Savings / Balanced,True
V02,52,1,20,200,3323.9,3754.4,430.5,4816,0,1,2553.2,45.8,38.8,7.0,Clarke-Wright Savings / Balanced,True
V03,53,1,20,200,3526.0,3668.5,142.5,1468,0,1,3375.5,40.4,38.1,2.3,Clarke-Wright Savings / Balanced,True
V01,54,1,20,200,3630.6,3749.2,118.6,1446,0,1,2717.8,40.3,38.4,1.9,Clarke-Wright Savings / Balanced,True
V03,55,1,10,200,3668.5,3797.4,128.9,1558,0,1,3670.2,38.1,36.1,2.0,Clarke-Wright Savings / Balanced,True
V06,56,1,20,200,3676.6,3979.8,303.1,3795,0,1,3385.6,39.2,34.3,4.9,Clarke-Wright Savings / Balanced,True
V04,57,1,10,200,3696.8,3992.8,296.0,3704,0,1,3314.5,44.3,39.6,4.7,Clarke-Wright Savings / Balanced,True
V05,58,1,20,200,3739.0,4014.2,275.2,3438,0,1,3157.6,39.2,34.8,4.4,Clarke-Wright Savings / Balanced,True
V08,59,1,20,200,3745.4,4076.4,331.0,4140,0,1,3745.7,37.5,32.2,5.4,Clarke-Wright Savings / Balanced,True
V01,60,1,10,200,3749.2,4094.4,345.2,4337,0,1,3670.2,38.4,32.8,5.5,Clarke-Wright Savings / Balanced,True
