Drone,RouteIndex,StopIndex,CustomerNo,Demand,PlannedArrival,ActualArrival,ReadyTime,DueTime,ServiceTime,OnTime,Late,Lateness,WaitTime,SpeedMps,BatteryPct,CargoLoad,Longitude,Latitude,Timestamp
V03_3,8,1,2,30,102.7,128.4,50.0,80.0,10.0,NO,YES,48.4,0.0,30.0,98.0,30,121.536792,29.883570,2026-04-07 21:58:46
V08_8,3,1,10,30,105.4,130.8,119.0,149.0,10.0,YES,NO,0.0,0.0,15.0,98.3,130,121.530576,29.867738,2026-04-07 21:58:47
V07_7,4,1,41,20,102.7,131.9,92.0,122.0,10.0,NO,YES,9.9,0.0,30.0,98.2,100,121.555439,29.883570,2026-04-07 21:58:47
V06_6,5,1,11,40,111.8,137.7,59.0,89.0,10.0,NO,YES,48.7,0.0,30.0,97.8,40,121.529540,29.867738,2026-04-07 21:58:47
V01_1,10,1,9,20,111.8,139.1,91.0,121.0,10.0,NO,YES,18.1,0.0,30.0,98.3,30,121.530576,29.865477,2026-04-07 21:58:47
V10_10,1,1,6,20,111.0,142.3,95.0,125.0,10.0,NO,YES,17.3,0.0,30.0,98.0,100,121.534720,29.883570,2026-04-07 21:58:47
V09_9,2,1,22,40,116.7,146.3,92.0,122.0,10.0,NO,YES,24.3,0.0,30.0,97.7,130,121.546115,29.856430,2026-04-07 21:58:47
V05_5,6,1,50,30,117.8,151.1,116.0,146.0,10.0,NO,YES,5.1,0.0,30.0,97.7,200,121.562690,29.865477,2026-04-07 21:58:47
V04_4,7,1,39,10,120.2,152.2,37.0,67.0,10.0,NO,YES,85.2,0.0,30.0,96.9,150,121.556475,29.885831,2026-04-07 21:58:47
V02_2,9,1,45,10,125.8,156.9,37.0,67.0,10.0,NO,YES,89.9,0.0,30.0,97.2,60,121.535756,29.886736,2026-04-07 21:58:47
V10_10,1,2,7,20,131.0,159.2,79.0,109.0,10.0,NO,YES,50.2,0.0,30.0,97.7,80,121.533166,29.883570,2026-04-07 21:58:47
V01_1,10,2,13,10,138.5,164.0,142.0,172.0,10.0,YES,NO,0.0,0.0,30.0,97.9,10,121.527987,29.865477,2026-04-07 21:58:47
V04_4,7,2,38,30,136.8,164.0,75.0,105.0,10.0,NO,YES,59.0,0.0,30.0,96.7,140,121.557510,29.885831,2026-04-07 21:58:47
V09_9,2,2,49,10,138.7,165.1,104.0,134.0,10.0,NO,YES,31.1,0.0,30.0,97.4,90,121.547151,29.855073,2026-04-07 21:58:47
V08_8,3,2,15,20,155.7,167.6,58.0,88.0,10.0,NO,YES,79.6,0.0,30.0,97.7,100,121.526433,29.867738,2026-04-07 21:58:47
V02_2,9,2,5,20,145.8,173.5,41.0,71.0,10.0,NO,YES,102.5,0.0,30.0,97.0,50,121.535756,29.888093,2026-04-07 21:58:47
V07_7,4,2,37,10,145.7,176.9,124.0,154.0,10.0,NO,YES,22.9,0.0,30.0,97.5,80,121.559064,29.886736,2026-04-07 21:58:47
V08_8,3,3,16,20,172.3,179.2,72.0,102.0,10.0,NO,YES,77.2,0.0,30.0,97.5,80,121.525397,29.867738,2026-04-07 21:58:47
V10_10,1,3,8,10,157.7,182.9,91.0,121.0,10.0,NO,YES,61.9,0.0,30.0,97.4,60,121.533166,29.885831,2026-04-07 21:58:48
V02_2,9,3,3,10,162.5,185.2,109.0,139.0,10.0,NO,YES,46.2,0.0,30.0,96.8,30,121.536792,29.888093,2026-04-07 21:58:48
V04_4,7,3,36,40,166.3,191.0,43.0,73.0,10.0,NO,YES,118.0,0.0,30.0,96.3,110,121.559064,29.888093,2026-04-07 21:58:48
V07_7,4,3,35,20,167.7,196.0,139.0,169.0,10.0,NO,YES,27.0,0.0,30.0,97.2,70,121.560100,29.888093,2026-04-07 21:58:48
V09_9,2,3,48,10,172.0,197.1,151.0,181.0,10.0,NO,YES,16.1,0.0,30.0,96.8,80,121.547151,29.851907,2026-04-07 21:58:48
V10_10,1,4,46,10,177.7,199.4,113.0,143.0,10.0,NO,YES,56.4,0.0,30.0,97.1,50,121.534720,29.885831,2026-04-07 21:58:48
V02_2,9,4,1,20,182.4,201.7,145.0,175.0,10.0,NO,YES,26.7,0.0,30.0,96.6,20,121.538346,29.888093,2026-04-07 21:58:48
V08_8,3,4,17,20,199.0,203.0,149.0,179.0,10.0,NO,YES,24.0,0.0,30.0,97.1,60,121.525397,29.870000,2026-04-07 21:58:48
V05_5,6,2,34,30,171.1,207.4,111.0,141.0,10.0,NO,YES,66.4,0.0,30.0,96.6,170,121.569424,29.865477,2026-04-07 21:58:48
V09_9,2,4,21,10,188.7,209.7,67.0,97.0,10.0,NO,YES,112.7,0.0,30.0,96.7,70,121.546115,29.851907,2026-04-07 21:58:48
V10_10,1,5,4,40,194.3,212.1,141.0,171.0,10.0,NO,YES,41.1,0.0,30.0,96.9,40,121.535756,29.885831,2026-04-07 21:58:48
V08_8,3,5,47,10,215.7,216.0,45.0,75.0,10.0,NO,YES,141.0,0.0,30.0,96.9,40,121.526433,29.870000,2026-04-07 21:58:48
V04_4,7,4,40,30,192.9,217.3,85.0,115.0,10.0,NO,YES,102.3,0.0,30.0,95.8,70,121.556475,29.888093,2026-04-07 21:58:48
V09_9,2,5,23,30,205.4,221.9,65.0,95.0,10.0,NO,YES,126.9,0.0,30.0,96.5,60,121.545079,29.851907,2026-04-07 21:58:48
V05_5,6,3,31,20,191.1,224.4,61.0,91.0,10.0,NO,YES,133.4,0.0,30.0,96.3,140,121.570978,29.865477,2026-04-07 21:58:48
V08_8,3,6,14,10,235.7,232.4,35.0,65.0,10.0,NO,YES,167.4,0.0,30.0,96.7,30,121.527987,29.870000,2026-04-07 21:58:49
V09_9,2,6,25,20,225.4,240.0,154.0,184.0,10.0,NO,YES,56.0,0.0,30.0,96.2,30,121.543525,29.851907,2026-04-07 21:58:49
V04_4,7,5,43,20,219.6,242.4,128.0,158.0,10.0,NO,YES,84.4,0.0,30.0,95.5,40,121.553885,29.888093,2026-04-07 21:58:49
V08_8,3,7,12,20,255.7,250.8,64.0,94.0,10.0,NO,YES,156.8,0.0,30.0,96.4,20,121.529540,29.870000,2026-04-07 21:58:49
V05_5,6,4,27,20,224.5,257.9,62.0,92.0,10.0,NO,YES,165.9,0.0,30.0,95.7,120,121.574603,29.865477,2026-04-07 21:58:49
V04_4,7,6,44,10,239.6,259.1,64.0,94.0,10.0,NO,YES,165.1,0.0,30.0,95.2,20,121.553885,29.886736,2026-04-07 21:58:49
V04_4,7,7,42,10,256.3,271.0,33.0,63.0,10.0,NO,YES,208.0,0.0,30.0,95.1,10,121.553885,29.885831,2026-04-07 21:58:49
V05_5,6,5,26,30,251.1,281.8,115.0,145.0,10.0,NO,YES,136.8,0.0,30.0,95.3,100,121.574603,29.863215,2026-04-07 21:58:50
V09_9,2,7,24,10,270.2,285.6,148.0,178.0,10.0,NO,YES,107.6,0.0,30.0,95.5,10,121.545079,29.856430,2026-04-07 21:58:50
V07_7,4,4,29,10,361.2,429.9,67.0,97.0,10.0,NO,YES,332.9,0.0,30.0,93.1,50,121.572013,29.865477,2026-04-07 21:58:52
V07_7,4,5,28,10,389.1,457.4,62.0,92.0,10.0,NO,YES,365.4,0.0,30.0,92.7,40,121.573049,29.863215,2026-04-07 21:58:53
V07_7,4,6,30,10,412.4,479.1,74.0,104.0,10.0,NO,YES,375.1,0.0,30.0,92.4,30,121.570978,29.863215,2026-04-07 21:58:53
V07_7,4,7,32,10,425.8,488.3,131.0,161.0,10.0,NO,YES,327.3,0.0,30.0,92.2,20,121.570460,29.863215,2026-04-07 21:58:54
V07_7,4,8,33,10,453.7,513.8,51.0,81.0,10.0,NO,YES,432.8,0.0,30.0,91.9,10,121.569424,29.860954,2026-04-07 21:58:54
V05_5,6,6,18,20,450.5,524.6,87.0,117.0,10.0,NO,YES,407.6,0.0,30.0,90.9,70,121.548187,29.851907,2026-04-07 21:58:54
V05_5,6,7,19,40,478.4,550.5,72.0,102.0,10.0,NO,YES,448.5,0.0,30.0,90.5,50,121.547151,29.854169,2026-04-07 21:58:55
V05_5,6,8,20,10,505.1,575.8,122.0,152.0,10.0,NO,YES,423.8,0.0,30.0,90.2,10,121.547151,29.856430,2026-04-07 21:58:55
