Drone,RouteIndex,StopIndex,CustomerNo,Demand,PlannedArrival,ActualArrival,ReadyTime,DueTime,ServiceTime,OnTime,Late,Lateness,WaitTime,SpeedMps,BatteryPct,CargoLoad,Longitude,Latitude,Timestamp
V07,4,1,107,20,36.1,55.0,1011.0,1077.0,90.0,YES,NO,0.0,956.0,15.0,99.2,190,121.547151,29.865929,2026-04-07 21:49:47
V08,3,1,39,20,47.4,68.5,931.0,971.0,90.0,YES,NO,0.0,862.5,15.0,99.0,200,121.545597,29.865024,2026-04-07 21:49:48
V07,4,2,78,20,1113.0,76.8,173.0,229.0,90.0,YES,NO,0.0,96.2,15.0,98.9,170,121.546115,29.864572,2026-04-07 21:49:48
V09,2,1,17,10,56.8,79.8,824.0,890.0,90.0,YES,NO,0.0,744.2,15.0,98.8,190,121.543525,29.865024,2026-04-07 21:49:48
V02,9,1,109,30,60.4,82.7,925.0,979.0,90.0,YES,NO,0.0,842.3,15.0,98.8,200,121.559582,29.870905,2026-04-07 21:49:48
V07,4,3,155,10,1207.7,89.2,79.0,140.0,90.0,YES,NO,0.0,0.0,15.0,98.8,150,121.546633,29.864120,2026-04-07 21:49:48
V08,3,2,67,20,1033.0,92.1,745.0,780.0,90.0,YES,NO,0.0,652.9,15.0,98.7,180,121.544561,29.863667,2026-04-07 21:49:48
V02,9,2,45,10,1019.7,94.7,19.0,94.0,90.0,NO,YES,0.7,0.0,15.0,98.6,170,121.560100,29.871357,2026-04-07 21:49:48
V01,10,1,62,20,77.8,107.4,23.0,66.0,90.0,NO,YES,41.4,0.0,30.0,97.8,200,121.552331,29.880403,2026-04-07 21:49:49
V07,4,4,175,10,1309.8,111.5,262.0,329.0,90.0,YES,NO,0.0,150.5,15.0,98.6,140,121.545597,29.862763,2026-04-07 21:49:49
V02,9,3,179,20,1119.1,113.0,829.0,890.0,90.0,YES,NO,0.0,716.0,15.0,98.4,160,121.561136,29.870452,2026-04-07 21:49:49
V03,8,1,61,20,80.0,118.9,556.0,610.0,90.0,YES,NO,0.0,437.1,15.0,98.2,200,121.562690,29.870000,2026-04-07 21:49:49
V01,10,2,131,30,177.8,126.9,80.0,153.0,90.0,YES,NO,0.0,0.0,30.0,97.5,180,121.552331,29.881760,2026-04-07 21:49:49
V02,9,4,100,20,1219.7,132.2,647.0,703.0,90.0,YES,NO,0.0,514.8,15.0,98.2,140,121.562690,29.870905,2026-04-07 21:49:49
V07,4,5,90,10,1413.5,135.0,641.0,697.0,90.0,YES,NO,0.0,506.0,15.0,98.3,130,121.543525,29.862310,2026-04-07 21:49:49
V02,9,5,64,10,1313.0,141.6,741.0,791.0,90.0,YES,NO,0.0,599.4,15.0,98.1,120,121.562690,29.871357,2026-04-07 21:49:49
V03,8,2,24,10,659.3,141.6,467.0,511.0,90.0,YES,NO,0.0,325.4,15.0,97.9,180,121.564762,29.870000,2026-04-07 21:49:49
V01,10,3,44,20,277.8,145.6,176.0,243.0,90.0,YES,NO,0.0,30.4,30.0,97.2,150,121.552331,29.883117,2026-04-07 21:49:49
V07,4,6,2,20,1511.0,149.5,553.0,602.0,90.0,YES,NO,0.0,403.5,15.0,98.1,120,121.544561,29.861858,2026-04-07 21:49:49
V02,9,6,154,10,1410.5,156.0,351.0,437.0,90.0,YES,NO,0.0,195.0,15.0,98.0,110,121.563726,29.871809,2026-04-07 21:49:49
V06,5,1,73,20,117.9,157.3,35.0,92.0,90.0,NO,YES,65.3,0.0,30.0,96.8,200,121.559064,29.855978,2026-04-07 21:49:50
V01,10,4,102,20,374.5,158.6,273.0,330.0,90.0,YES,NO,0.0,114.4,30.0,97.0,130,121.553367,29.883117,2026-04-07 21:49:50
V01,10,5,146,20,469.2,175.2,356.0,429.0,90.0,YES,NO,0.0,180.8,30.0,96.7,110,121.553885,29.883570,2026-04-07 21:49:50
V03,8,3,20,30,766.3,175.2,33.0,93.0,90.0,NO,YES,82.2,0.0,30.0,97.3,170,121.567352,29.869548,2026-04-07 21:49:50
V07,4,7,43,20,1615.9,179.3,448.0,517.0,90.0,YES,NO,0.0,268.7,15.0,97.8,100,121.545597,29.860049,2026-04-07 21:49:50
V02,9,7,173,10,1511.0,180.7,278.0,325.0,90.0,YES,NO,0.0,97.3,15.0,97.7,100,121.563208,29.873166,2026-04-07 21:49:50
V06,5,2,129,20,221.6,185.9,285.0,358.0,90.0,YES,NO,0.0,99.1,30.0,96.2,180,121.559582,29.854169,2026-04-07 21:49:50
V07,4,8,13,10,1715.3,196.8,364.0,416.0,90.0,YES,NO,0.0,167.2,15.0,97.6,80,121.546633,29.860954,2026-04-07 21:49:50
V02,9,8,27,30,1610.4,198.0,178.0,238.0,90.0,YES,NO,0.0,0.0,15.0,97.5,90,121.562172,29.872262,2026-04-07 21:49:50
V01,10,6,68,10,573.3,200.9,457.0,518.0,90.0,YES,NO,0.0,256.1,30.0,96.3,90,121.555439,29.882213,2026-04-07 21:49:50
V03,8,4,41,20,877.4,208.6,95.0,163.0,90.0,NO,YES,45.6,0.0,30.0,96.7,140,121.570460,29.870452,2026-04-07 21:49:51
V06,5,3,116,20,392.0,214.2,98.0,166.0,90.0,NO,YES,48.2,0.0,30.0,95.7,160,121.562172,29.854621,2026-04-07 21:49:51
V02,9,9,178,10,1712.5,219.3,88.0,141.0,90.0,NO,YES,78.3,0.0,30.0,97.2,60,121.561136,29.873619,2026-04-07 21:49:51
V01,10,7,30,20,678.2,224.6,32.0,102.0,90.0,NO,YES,122.6,0.0,30.0,95.9,80,121.557510,29.883117,2026-04-07 21:49:51
V03,8,5,85,20,977.4,227.2,193.0,252.0,90.0,YES,NO,0.0,0.0,30.0,96.4,120,121.572013,29.870452,2026-04-07 21:49:51
V05,6,1,91,20,160.0,227.2,480.0,541.0,90.0,YES,NO,0.0,252.8,15.0,96.6,200,121.564762,29.852359,2026-04-07 21:49:51
V06,5,4,12,10,489.5,228.5,196.0,252.0,90.0,YES,NO,0.0,0.0,30.0,95.5,140,121.563208,29.854169,2026-04-07 21:49:51
V07,4,9,113,10,1826.6,229.8,15.0,62.0,90.0,NO,YES,167.8,0.0,30.0,97.1,70,121.548705,29.863215,2026-04-07 21:49:51
V03,8,6,80,10,1070.7,236.5,286.0,341.0,90.0,YES,NO,0.0,49.5,30.0,96.3,100,121.572531,29.870452,2026-04-07 21:49:51
V10,1,1,57,10,179.0,243.2,53.0,123.0,90.0,NO,YES,120.2,0.0,30.0,95.0,180,121.524879,29.860049,2026-04-07 21:49:51
V01,10,8,120,10,780.3,245.9,93.0,159.0,90.0,NO,YES,86.9,0.0,30.0,95.5,60,121.558546,29.884474,2026-04-07 21:49:51
V03,8,7,31,20,1167.4,250.3,370.0,440.0,90.0,YES,NO,0.0,119.7,30.0,96.1,90,121.572531,29.869548,2026-04-07 21:49:51
V05,6,2,70,30,589.4,259.9,577.0,636.0,90.0,YES,NO,0.0,317.1,15.0,96.2,180,121.567352,29.853716,2026-04-07 21:49:52
V06,5,5,164,30,600.5,264.2,49.0,119.0,90.0,NO,YES,145.2,0.0,30.0,94.8,130,121.564244,29.851455,2026-04-07 21:49:52
V03,8,8,25,10,1264.9,267.2,462.0,534.0,90.0,YES,NO,0.0,194.8,30.0,95.8,70,121.572013,29.868643,2026-04-07 21:49:52
V10,1,2,118,20,282.4,268.8,115.0,180.0,90.0,NO,YES,88.8,0.0,30.0,94.5,170,121.524879,29.858240,2026-04-07 21:49:52
