Drone,RouteIndex,LegIndex,OriginName,OriginLongitude_deg,OriginLatitude_deg,OriginAltitude_mWGS84,DestName,DestLongitude_deg,DestLatitude_deg,DestAltitude_mWGS84,StraightLineDist_m,ActualFlownDist_m,DetourRatio,WaypointCount,DepartureSimTime,ArrivalSimTime,LegDuration_simUnits,CruiseSpeed_mps,AvgSpeed_mps,DepartBattery_pct,ArriveBattery_pct,DepartCargo,ArriveCargo,DestReadyTime,DestDueTime,ArrivedOnTime,DistanceUnit,TimeUnit,SpeedUnit,AltitudeUnit,CoordSystem
V10,1,0,Depot,121.549482,29.870000,25.0,C168,121.554144,29.874523,25.0,674.5,718.5,1.065,5,0.00,80.02,80.02,15.0,9.0,100.0,97.7,689,689,0.0,2512.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08,3,0,Depot,121.549482,29.870000,25.0,C164,121.546892,29.874523,25.0,561.5,591.3,1.053,5,0.00,87.14,87.14,15.0,6.8,100.0,98.2,406,406,0.0,2514.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,0,Depot,121.549482,29.870000,25.0,C023,121.553626,29.866834,25.0,532.5,615.9,1.157,7,0.00,96.73,96.73,15.0,6.4,100.0,98.2,396,396,0.0,2515.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05,6,0,Depot,121.549482,29.870000,25.0,C099,121.549482,29.875880,25.0,653.9,683.9,1.046,4,0.00,105.38,105.38,15.0,6.5,100.0,97.9,376,376,0.0,2512.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10,1,1,C168,121.554144,29.874523,35.0,C096,121.557769,29.874523,25.0,349.7,359.6,1.028,4,81.21,111.88,30.66,15.0,11.7,97.7,96.9,685,685,0.0,2507.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,7,0,Depot,121.549482,29.870000,25.0,C111,121.544820,29.864120,25.0,793.5,915.8,1.154,7,0.00,114.48,114.48,15.0,8.0,100.0,97.9,314,314,0.0,2510.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08,3,1,C164,121.546892,29.874523,35.0,C053,121.544302,29.876333,25.0,320.8,350.7,1.093,4,88.23,120.15,31.92,15.0,11.0,98.2,97.6,386,386,0.0,2508.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,1,C023,121.553626,29.866834,35.0,C041,121.555180,29.864120,25.0,337.1,346.9,1.029,4,96.73,129.21,32.49,15.0,10.7,98.2,97.4,377,377,33.0,104.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07,4,0,Depot,121.549482,29.870000,25.0,C115,121.561395,29.865929,25.0,1234.7,1253.8,1.015,6,0.00,157.51,157.51,15.0,8.0,100.0,96.6,432,432,0.0,2501.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05,6,1,C099,121.549482,29.875880,35.0,C181,121.549482,29.880856,25.0,553.3,577.4,1.043,5,106.46,161.61,55.15,15.0,10.5,97.9,96.9,353,353,0.0,2501.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10,1,2,C096,121.557769,29.874523,45.0,C055,121.556734,29.878142,25.0,415.1,424.6,1.023,4,112.99,162.62,49.63,15.0,8.6,96.9,95.5,664,664,0.0,2503.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01,10,0,Depot,121.549482,29.870000,25.0,C078,121.551036,29.881760,25.0,1316.3,1346.3,1.023,4,0.00,163.62,163.62,15.0,8.2,100.0,97.7,165,165,0.0,2499.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08,3,2,C053,121.544302,29.876333,45.0,C169,121.539641,29.879951,25.0,603.6,613.3,1.016,4,121.22,163.62,42.39,15.0,14.5,97.6,96.8,363,363,0.0,2496.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02,9,0,Depot,121.549482,29.870000,25.0,C074,121.538087,29.859597,25.0,1595.5,1727.3,1.083,7,0.00,175.11,175.11,15.0,9.9,100.0,97.1,189,189,94.0,161.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,2,C041,121.555180,29.864120,45.0,C047,121.559841,29.858240,25.0,793.7,803.5,1.012,4,131.19,185.08,53.89,30.0,14.9,97.4,96.0,369,369,0.0,2493.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V06,5,0,Depot,121.549482,29.870000,25.0,C056,121.557769,29.856430,25.0,1707.5,1740.0,1.019,6,0.00,197.16,197.16,15.0,8.8,100.0,96.4,319,319,0.0,2491.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,7,1,C111,121.544820,29.864120,35.0,C131,121.547410,29.856430,25.0,890.8,900.8,1.011,4,116.03,204.85,88.82,15.0,10.1,97.9,96.4,279,279,40.0,202.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V06,5,1,C056,121.557769,29.856430,35.0,C116,121.559323,29.855978,25.0,158.4,168.1,1.061,4,199.03,219.76,20.74,15.0,8.1,96.4,96.1,297,297,0.0,2489.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01,10,1,C078,121.551036,29.881760,35.0,C008,121.553626,29.888545,25.0,794.7,804.7,1.013,4,164.64,224.68,60.04,15.0,13.4,97.7,96.8,156,156,112.0,222.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02,9,1,C074,121.538087,29.859597,35.0,C190,121.531871,29.855526,25.0,751.2,761.1,1.013,4,177.03,228.45,51.42,30.0,14.8,97.1,96.1,170,170,0.0,2479.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,3,C047,121.559841,29.858240,55.0,C077,121.566575,29.858240,25.0,650.0,659.3,1.014,4,187.06,231.18,44.12,30.0,14.9,96.0,94.8,363,363,0.0,2483.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07,4,1,C115,121.561395,29.865929,35.0,C061,121.567093,29.862763,25.0,652.6,662.5,1.015,4,159.46,234.25,74.78,15.0,8.9,96.6,95.1,422,422,208.0,333.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,7,2,C131,121.547410,29.856430,45.0,C062,121.541195,29.853264,25.0,695.5,705.2,1.014,4,206.77,253.22,46.45,30.0,15.2,96.4,95.3,259,259,118.0,204.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,4,C077,121.566575,29.858240,65.0,C125,121.571754,29.858692,25.0,503.6,512.0,1.017,4,232.18,266.30,34.13,30.0,15.0,94.8,94.0,351,351,0.0,2476.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10,1,3,C055,121.556734,29.878142,55.0,C138,121.565021,29.883117,25.0,972.3,981.9,1.010,4,163.62,276.70,113.08,15.0,8.7,95.5,92.5,648,648,0.0,2484.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05,6,2,C181,121.549482,29.880856,45.0,C150,121.546374,29.890355,25.0,1098.1,1107.9,1.009,4,162.62,289.09,126.47,15.0,8.8,96.9,94.6,321,321,514.0,687.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02,9,2,C190,121.531871,29.855526,45.0,C149,121.528764,29.847836,25.0,906.3,916.0,1.011,4,230.24,290.07,59.83,30.0,15.3,96.1,94.9,165,165,0.0,2462.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,7,3,C062,121.541195,29.853264,55.0,C192,121.536015,29.854621,25.0,522.7,531.8,1.017,4,255.14,290.07,34.93,30.0,15.2,95.3,94.6,239,239,211.0,290.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V06,5,2,C116,121.559323,29.855978,45.0,C065,121.564503,29.853716,25.0,559.6,569.2,1.017,4,221.72,291.14,69.43,15.0,8.2,96.1,94.9,274,274,0.0,2479.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08,3,3,C169,121.539641,29.879951,55.0,C126,121.533943,29.889450,25.0,1190.9,1200.5,1.008,4,164.64,298.91,134.28,15.0,8.9,96.8,94.2,354,354,0.0,2473.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,5,C125,121.571754,29.858692,75.0,C152,121.571754,29.854169,25.0,505.4,513.0,1.015,4,268.09,302.59,34.50,30.0,14.9,94.0,93.1,347,347,166.0,357.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,7,4,C192,121.536015,29.854621,65.0,C036,121.534461,29.854621,25.0,155.1,159.9,1.031,4,291.14,303.51,12.37,30.0,12.9,94.6,94.3,230,230,0.0,2481.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02,9,3,C149,121.528764,29.847836,55.0,C134,121.525138,29.846931,25.0,365.1,373.9,1.024,4,291.14,315.89,24.75,30.0,15.1,94.9,94.4,153,153,0.0,2456.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,6,C152,121.571754,29.854169,85.0,C043,121.571754,29.852812,25.0,162.4,160.9,0.991,4,304.41,315.89,11.48,30.0,14.0,93.1,92.8,338,338,0.0,2468.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05,6,3,C150,121.546374,29.890355,55.0,C058,121.543784,29.890355,25.0,251.5,259.7,1.033,4,290.07,320.61,30.54,15.0,8.5,94.6,94.0,306,306,0.0,2479.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V06,5,3,C065,121.564503,29.853716,55.0,C019,121.567093,29.852812,25.0,270.9,279.3,1.031,4,293.07,326.39,33.32,15.0,8.4,94.9,94.3,265,265,0.0,2475.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10,1,4,C138,121.565021,29.883117,65.0,C038,121.568647,29.884474,25.0,382.8,390.7,1.021,4,278.55,326.39,47.84,15.0,8.2,92.5,91.2,631,631,0.0,2477.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,7,5,C036,121.534461,29.854621,75.0,C033,121.534979,29.851455,25.0,359.1,365.6,1.018,4,305.29,329.33,24.04,30.0,15.2,94.3,93.8,217,217,0.0,2476.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,7,C043,121.571754,29.852812,95.0,C129,121.570201,29.851002,25.0,260.4,260.9,1.002,4,317.86,335.69,17.83,30.0,14.6,92.8,92.4,302,302,0.0,2467.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07,4,2,C061,121.567093,29.862763,45.0,C119,121.575380,29.865477,25.0,854.5,864.2,1.011,4,236.16,336.60,100.45,15.0,8.6,95.1,93.0,409,409,216.0,337.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03,8,0,Depot,121.549482,29.870000,25.0,C137,121.548964,29.841051,25.0,3219.3,3268.2,1.015,6,0.00,348.64,348.64,15.0,9.4,100.0,94.5,227,227,328.0,456.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08,3,4,C126,121.533943,29.889450,65.0,C066,121.532907,29.893521,25.0,465.3,473.6,1.018,4,300.76,355.29,54.53,15.0,8.7,94.2,93.2,331,331,941.0,1052.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10,1,5,C038,121.568647,29.884474,75.0,C107,121.570201,29.883117,25.0,218.4,222.6,1.019,4,327.48,355.29,27.81,15.0,8.0,91.2,90.5,619,619,0.0,2476.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
