Drone,RouteIndex,LegIndex,OriginName,OriginLongitude_deg,OriginLatitude_deg,OriginAltitude_mWGS84,DestName,DestLongitude_deg,DestLatitude_deg,DestAltitude_mWGS84,StraightLineDist_m,ActualFlownDist_m,DetourRatio,WaypointCount,DepartureSimTime,ArrivalSimTime,LegDuration_simUnits,CruiseSpeed_mps,AvgSpeed_mps,DepartBattery_pct,ArriveBattery_pct,DepartCargo,ArriveCargo,DestReadyTime,DestDueTime,ArrivedOnTime,DistanceUnit,TimeUnit,SpeedUnit,AltitudeUnit,CoordSystem
V10,1,0,Depot,121.550259,29.870000,25.0,C113,121.548705,29.863215,25.0,769.2,779.2,1.013,4,0.00,60.04,60.04,15.0,13.0,100.0,99.1,200,200,15.0,62.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,0,Depot,121.550259,29.870000,25.0,C062,121.552331,29.880403,25.0,1173.9,1219.4,1.039,6,0.00,77.98,77.98,15.0,15.6,100.0,98.6,190,190,23.0,66.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03,8,0,Depot,121.550259,29.870000,25.0,C045,121.560100,29.871357,25.0,960.8,991.7,1.032,5,0.00,82.30,82.30,15.0,12.1,100.0,98.8,190,190,19.0,94.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10,1,1,C113,121.548705,29.863215,35.0,C078,121.546115,29.864572,25.0,291.9,301.8,1.034,4,61.56,92.52,30.96,15.0,9.7,99.1,98.7,190,190,173.0,229.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,7,0,Depot,121.550259,29.870000,25.0,C178,121.561136,29.873619,25.0,1123.3,1156.8,1.030,6,0.00,97.02,97.02,15.0,11.9,100.0,98.6,200,200,88.0,141.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,1,C062,121.552331,29.880403,35.0,C044,121.552331,29.883117,25.0,301.9,311.8,1.033,4,79.61,111.77,32.16,30.0,9.7,98.6,98.0,170,170,176.0,243.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03,8,1,C045,121.560100,29.871357,35.0,C027,121.562172,29.872262,25.0,223.9,233.7,1.044,4,83.66,113.14,29.48,15.0,7.9,98.8,98.4,180,180,178.0,238.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10,1,2,C078,121.546115,29.864572,45.0,C175,121.545597,29.862763,25.0,208.3,217.3,1.043,4,94.14,116.15,22.01,15.0,9.9,98.7,98.4,170,170,262.0,329.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02,9,0,Depot,121.550259,29.870000,25.0,C068,121.555439,29.882213,25.0,1446.9,1477.4,1.021,5,0.00,124.84,124.84,15.0,11.8,100.0,98.2,190,190,457.0,518.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,2,2,C044,121.552331,29.883117,45.0,C102,121.553367,29.883117,25.0,101.9,109.9,1.079,4,113.14,126.12,12.98,30.0,8.5,98.0,97.8,150,150,273.0,330.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
