Drone,RouteIndex,StopIndex,CustomerNo,Demand,PlannedArrival,ActualArrival,ReadyTime,DueTime,ServiceTime,OnTime,Late,Lateness,WaitTime,SpeedMps,BatteryPct,CargoLoad,Longitude,Latitude,Timestamp
V10,1,1,113,10,51.0,60.0,15.0,62.0,90.0,YES,NO,0.0,0.0,15.0,99.1,200,121.548705,29.863215,2026-04-07 21:42:00
V09,2,1,62,20,77.8,78.0,23.0,66.0,90.0,NO,YES,12.0,0.0,30.0,98.6,190,121.552331,29.880403,2026-04-07 21:42:00
V03,8,1,45,10,64.1,82.3,19.0,94.0,90.0,YES,NO,0.0,0.0,15.0,98.8,190,121.560100,29.871357,2026-04-07 21:42:00
V10,1,2,78,20,160.4,92.5,173.0,229.0,90.0,YES,NO,0.0,80.5,15.0,98.7,190,121.546115,29.864572,2026-04-07 21:42:01
V04,7,1,178,10,74.9,97.0,88.0,141.0,90.0,YES,NO,0.0,0.0,15.0,98.6,200,121.561136,29.873619,2026-04-07 21:42:01
V09,2,2,44,20,187.8,111.8,176.0,243.0,90.0,YES,NO,0.0,64.2,30.0,98.0,170,121.552331,29.883117,2026-04-07 21:42:01
V03,8,2,27,30,169.0,113.1,178.0,238.0,90.0,YES,NO,0.0,64.9,15.0,98.4,180,121.562172,29.872262,2026-04-07 21:42:01
V10,1,3,175,10,276.7,116.1,262.0,329.0,90.0,YES,NO,0.0,145.9,15.0,98.4,170,121.545597,29.862763,2026-04-07 21:42:01
V02,9,1,68,10,96.0,124.8,457.0,518.0,90.0,YES,NO,0.0,332.2,15.0,98.2,190,121.555439,29.882213,2026-04-07 21:42:01
V09,2,3,102,20,284.5,126.1,273.0,330.0,90.0,YES,NO,0.0,146.9,30.0,97.8,150,121.553367,29.883117,2026-04-07 21:42:01
V08,3,1,101,10,118.4,127.3,35.0,91.0,90.0,NO,YES,36.3,0.0,30.0,97.5,200,121.532130,29.872714,2026-04-07 21:42:01
V07,4,1,73,20,117.9,134.9,35.0,92.0,90.0,NO,YES,42.9,0.0,30.0,97.7,130,121.559064,29.855978,2026-04-07 21:42:01
V03,8,3,173,10,277.4,138.0,278.0,325.0,90.0,YES,NO,0.0,140.0,15.0,98.1,150,121.563208,29.873166,2026-04-07 21:42:02
V09,2,4,146,20,379.2,145.0,356.0,429.0,90.0,YES,NO,0.0,211.0,30.0,97.4,130,121.553885,29.883570,2026-04-07 21:42:02
V10,1,4,13,10,381.7,149.9,364.0,416.0,90.0,YES,NO,0.0,214.1,15.0,98.0,160,121.546633,29.860954,2026-04-07 21:42:02
V05,6,1,133,10,129.8,151.3,38.0,93.0,90.0,NO,YES,58.3,0.0,30.0,96.9,200,121.565280,29.881760,2026-04-07 21:42:02
V08,3,2,1,20,217.8,154.0,750.0,809.0,90.0,YES,NO,0.0,596.0,30.0,97.0,190,121.531094,29.873619,2026-04-07 21:42:02
V02,9,2,30,20,561.9,158.6,32.0,102.0,90.0,NO,YES,56.6,0.0,30.0,97.5,180,121.557510,29.883117,2026-04-07 21:42:02
V03,8,4,154,10,378.5,158.6,351.0,437.0,90.0,YES,NO,0.0,192.4,15.0,97.9,140,121.563726,29.871809,2026-04-07 21:42:02
V08,3,3,9,20,844.7,165.5,655.0,721.0,90.0,YES,NO,0.0,489.5,30.0,96.8,170,121.530576,29.874071,2026-04-07 21:42:02
V10,1,5,43,20,481.1,168.4,448.0,517.0,90.0,YES,NO,0.0,279.6,15.0,97.8,150,121.545597,29.860049,2026-04-07 21:42:02
V06,5,1,93,10,170.1,177.9,51.0,93.0,90.0,NO,YES,84.9,0.0,30.0,96.2,200,121.528505,29.883117,2026-04-07 21:42:02
V08,3,4,71,20,941.4,179.3,561.0,632.0,90.0,YES,NO,0.0,381.7,30.0,96.6,150,121.529540,29.874071,2026-04-07 21:42:02
V04,7,2,20,30,228.0,180.6,33.0,93.0,90.0,NO,YES,87.6,0.0,30.0,96.8,190,121.567352,29.869548,2026-04-07 21:42:02
V03,8,5,24,10,483.4,183.3,467.0,511.0,90.0,YES,NO,0.0,283.7,15.0,97.6,130,121.564762,29.870000,2026-04-07 21:42:02
V02,9,3,19,20,675.5,194.9,186.0,253.0,90.0,YES,NO,0.0,0.0,30.0,96.8,160,121.558028,29.886284,2026-04-07 21:42:03
V01,10,1,12,10,143.4,198.9,196.0,252.0,90.0,YES,NO,0.0,0.0,15.0,97.1,190,121.563208,29.854169,2026-04-07 21:42:03
V03,8,6,61,20,586.8,205.3,556.0,610.0,90.0,YES,NO,0.0,350.7,15.0,97.3,120,121.562690,29.870000,2026-04-07 21:42:03
V08,3,5,119,20,1049.3,206.5,188.0,260.0,90.0,YES,NO,0.0,0.0,30.0,96.1,130,121.528505,29.871809,2026-04-07 21:42:03
V02,9,4,192,20,774.9,211.7,275.0,350.0,90.0,YES,NO,0.0,63.3,30.0,96.6,140,121.559064,29.887188,2026-04-07 21:42:03
V07,4,2,147,10,260.6,213.0,202.0,262.0,90.0,YES,NO,0.0,0.0,30.0,96.2,110,121.563726,29.850098,2026-04-07 21:42:03
V04,7,3,85,20,348.7,224.5,193.0,252.0,90.0,YES,NO,0.0,0.0,30.0,96.0,160,121.572013,29.870452,2026-04-07 21:42:03
V08,3,6,166,10,1149.9,224.5,284.0,349.0,90.0,YES,NO,0.0,59.5,30.0,95.8,110,121.527987,29.873166,2026-04-07 21:42:03
V09,2,5,97,30,524.4,224.5,465.0,532.0,90.0,YES,NO,0.0,240.5,30.0,96.0,110,121.561654,29.886736,2026-04-07 21:42:03
V01,10,2,164,30,307.1,231.0,49.0,119.0,90.0,NO,YES,112.0,0.0,30.0,96.5,180,121.564244,29.851455,2026-04-07 21:42:03
V07,4,3,160,40,360.6,231.0,287.0,363.0,90.0,YES,NO,0.0,56.0,30.0,95.9,100,121.565280,29.850098,2026-04-07 21:42:03
V02,9,5,196,10,878.2,233.5,384.0,430.0,90.0,YES,NO,0.0,150.5,30.0,96.2,120,121.561136,29.887188,2026-04-07 21:42:03
V04,7,4,80,10,442.1,233.5,286.0,341.0,90.0,YES,NO,0.0,52.5,30.0,95.9,140,121.572531,29.870452,2026-04-07 21:42:03
V08,3,7,35,20,1251.9,245.5,380.0,440.0,90.0,YES,NO,0.0,134.5,30.0,95.5,100,121.526951,29.874523,2026-04-07 21:42:04
V04,7,5,31,20,538.7,246.8,370.0,440.0,90.0,YES,NO,0.0,123.2,30.0,95.7,130,121.572531,29.869548,2026-04-07 21:42:04
V04,7,6,25,10,636.2,261.9,462.0,534.0,90.0,YES,NO,0.0,200.1,30.0,95.4,110,121.572013,29.868643,2026-04-07 21:42:04
V04,7,7,172,20,730.9,272.7,561.0,617.0,90.0,YES,NO,0.0,288.3,30.0,95.3,100,121.571495,29.868191,2026-04-07 21:42:04
V03,8,7,110,30,726.0,275.5,748.0,800.0,90.0,YES,NO,0.0,472.5,15.0,96.5,100,121.569424,29.866834,2026-04-07 21:42:04
V05,6,2,50,20,310.5,276.9,221.0,277.0,90.0,YES,NO,0.0,0.0,30.0,94.3,190,121.576675,29.888998,2026-04-07 21:42:04
V04,7,8,77,10,824.2,282.2,650.0,710.0,90.0,YES,NO,0.0,367.8,30.0,95.1,80,121.570978,29.868191,2026-04-07 21:42:04
V01,10,3,129,20,433.1,285.0,285.0,358.0,90.0,YES,NO,0.0,0.0,30.0,95.4,150,121.559582,29.854169,2026-04-07 21:42:04
V05,6,3,156,20,405.2,287.7,307.0,374.0,90.0,YES,NO,0.0,19.3,30.0,94.1,170,121.577193,29.889450,2026-04-07 21:42:05
V02,9,6,169,20,1015.4,302.5,567.0,634.0,90.0,YES,NO,0.0,264.5,30.0,94.9,110,121.568388,29.888093,2026-04-07 21:42:05
V05,6,4,134,20,505.7,306.5,128.0,185.0,90.0,NO,YES,121.5,0.0,30.0,93.8,150,121.575639,29.889902,2026-04-07 21:42:05
V06,5,2,104,20,354.4,307.9,142.0,197.0,90.0,NO,YES,110.9,0.0,30.0,93.5,190,121.518145,29.892164,2026-04-07 21:42:05
V02,9,7,89,20,1112.8,317.5,668.0,719.0,90.0,YES,NO,0.0,350.5,30.0,94.7,90,121.567352,29.888545,2026-04-07 21:42:05
V03,8,8,41,20,865.5,317.5,95.0,163.0,90.0,NO,YES,154.5,0.0,30.0,95.8,70,121.570460,29.870452,2026-04-07 21:42:05
V02,9,8,105,10,1207.5,327.9,754.0,814.0,90.0,YES,NO,0.0,426.1,30.0,94.5,70,121.566834,29.888093,2026-04-07 21:42:05
V04,7,9,162,30,947.6,331.9,840.0,900.0,90.0,YES,NO,0.0,508.1,30.0,94.3,70,121.566834,29.865477,2026-04-07 21:42:05
V06,5,3,54,30,468.4,343.9,319.0,398.0,90.0,YES,NO,0.0,0.0,30.0,92.8,170,121.516073,29.894878,2026-04-07 21:42:06
V10,1,6,167,20,701.8,346.5,673.0,748.0,90.0,YES,NO,0.0,326.5,15.0,95.5,130,121.529540,29.849193,2026-04-07 21:42:06
V01,10,4,47,30,566.6,348.0,392.0,442.0,90.0,YES,NO,0.0,44.0,30.0,94.3,130,121.565280,29.851002,2026-04-07 21:42:06
V02,9,9,15,20,1309.5,349.3,846.0,911.0,90.0,YES,NO,0.0,496.7,30.0,94.2,60,121.565280,29.888998,2026-04-07 21:42:06
V09,2,6,170,10,704.1,349.3,65.0,126.0,90.0,NO,YES,223.3,0.0,30.0,93.7,80,121.575121,29.889902,2026-04-07 21:42:06
V01,10,5,91,20,667.2,366.9,480.0,541.0,90.0,YES,NO,0.0,113.1,30.0,93.9,100,121.564762,29.852359,2026-04-07 21:42:06
V05,6,5,153,10,645.7,379.0,472.0,539.0,90.0,YES,NO,0.0,93.0,30.0,92.4,130,121.569424,29.885831,2026-04-07 21:42:06
V06,5,4,132,30,588.3,388.5,515.0,585.0,90.0,YES,NO,0.0,126.5,30.0,91.9,140,121.514002,29.891259,2026-04-07 21:42:07
V02,9,10,96,10,1428.2,392.8,656.0,728.0,90.0,YES,NO,0.0,263.2,30.0,93.5,40,121.562690,29.885831,2026-04-07 21:42:07
V10,1,7,46,20,822.0,392.8,405.0,453.0,90.0,YES,NO,0.0,12.2,15.0,94.9,110,121.524879,29.849645,2026-04-07 21:42:07
V01,10,6,70,30,776.6,398.1,577.0,636.0,90.0,YES,NO,0.0,178.9,30.0,93.4,80,121.567352,29.853716,2026-04-07 21:42:07
V08,3,8,7,10,1467.4,419.9,616.0,680.0,90.0,YES,NO,0.0,196.1,30.0,92.3,80,121.514520,29.887641,2026-04-07 21:42:07
V02,9,11,74,10,1537.1,422.4,933.0,1008.0,90.0,YES,NO,0.0,510.6,30.0,93.1,30,121.560618,29.884022,2026-04-07 21:42:07
V07,4,4,51,10,698.7,429.5,611.0,678.0,90.0,YES,NO,0.0,181.5,30.0,92.5,60,121.584963,29.841051,2026-04-07 21:42:07
V09,2,7,145,20,852.3,433.6,608.0,661.0,90.0,YES,NO,0.0,174.4,30.0,92.3,70,121.577193,29.897592,2026-04-07 21:42:07
V10,1,8,34,10,942.7,439.1,772.0,835.0,90.0,YES,NO,0.0,332.9,15.0,94.4,90,121.529540,29.850550,2026-04-07 21:42:08
V10,1,9,95,10,1037.4,449.6,865.0,925.0,90.0,YES,NO,0.0,415.4,15.0,94.3,80,121.529022,29.851002,2026-04-07 21:42:08
V09,2,8,195,20,952.9,452.2,692.0,765.0,90.0,YES,NO,0.0,239.8,30.0,92.0,50,121.575639,29.897139,2026-04-07 21:42:08
V07,4,5,174,30,803.6,453.5,723.0,756.0,90.0,YES,NO,0.0,269.5,30.0,92.1,50,121.585998,29.842861,2026-04-07 21:42:08
V08,3,9,181,20,1578.7,453.5,720.0,768.0,90.0,YES,NO,0.0,266.5,30.0,91.7,70,121.517109,29.889450,2026-04-07 21:42:08
V02,9,12,149,20,1647.4,454.8,1036.0,1097.0,90.0,YES,NO,0.0,581.2,30.0,92.6,20,121.561136,29.881308,2026-04-07 21:42:08
V05,6,6,112,20,793.9,462.9,405.0,459.0,90.0,NO,YES,3.9,0.0,30.0,90.9,120,121.577711,29.888998,2026-04-07 21:42:08
V09,2,9,52,20,1047.6,462.9,782.0,857.0,90.0,YES,NO,0.0,319.1,30.0,91.8,30,121.575121,29.897592,2026-04-07 21:42:08
V08,3,10,117,10,1676.2,468.0,801.0,872.0,90.0,YES,NO,0.0,333.0,30.0,91.5,50,121.517627,29.890355,2026-04-07 21:42:08
V10,1,10,158,20,1138.0,468.0,960.0,1016.0,90.0,YES,NO,0.0,492.0,15.0,94.1,70,121.529540,29.852359,2026-04-07 21:42:08
V09,2,10,92,10,1145.0,477.1,870.0,953.0,90.0,YES,NO,0.0,392.9,30.0,91.7,10,121.574085,29.898044,2026-04-07 21:42:08
V03,8,9,152,30,1073.9,481.2,296.0,347.0,90.0,NO,YES,134.2,0.0,30.0,93.0,50,121.567352,29.886284,2026-04-07 21:42:08
V06,5,5,98,10,744.0,481.2,629.0,677.0,90.0,YES,NO,0.0,147.8,30.0,90.2,110,121.519181,29.898949,2026-04-07 21:42:08
V05,6,7,79,20,897.3,485.2,595.0,636.0,90.0,YES,NO,0.0,109.8,30.0,90.5,100,121.579783,29.888998,2026-04-07 21:42:08
V07,4,6,136,10,914.6,486.5,797.0,874.0,90.0,YES,NO,0.0,310.5,30.0,91.6,20,121.582891,29.843765,2026-04-07 21:42:09
V07,4,7,189,10,931.5,501.5,895.0,960.0,90.0,YES,NO,0.0,393.5,30.0,91.4,10,121.581855,29.843313,2026-04-07 21:42:09
V03,8,10,59,20,1178.8,505.4,952.0,992.0,90.0,YES,NO,0.0,446.6,30.0,92.6,20,121.565280,29.887188,2026-04-07 21:42:09
