Drone,RouteIndex,StopIndex,CustomerNo,Demand,PlannedArrival,ActualArrival,ReadyTime,DueTime,ServiceTime,OnTime,Late,Lateness,WaitTime,SpeedMps,BatteryPct,CargoLoad,Longitude,Latitude,Timestamp
V01_1,1,1,42,10,111.8,91.8,33,63,10,NO,YES,28.8,0,30,98.5,10,121.553885,29.885831,2026/3/25 23:34
V02_2,2,1,14,10,117.8,93.3,35,65,10,NO,YES,28.3,0,30,98.5,10,121.527987,29.87,2026/3/25 23:34
V03_3,3,1,39,10,120.2,95.7,37,67,10,NO,YES,28.7,0,30,98.4,10,121.556475,29.885831,2026/3/25 23:34
V08_8,8,1,2,30,102.7,96.3,50,80,10,NO,YES,16.3,0,30,98.6,30,121.536792,29.88357,2026/3/25 23:34
V04_4,4,1,45,10,125.8,97.7,37,67,10,NO,YES,30.7,0,30,98.3,50,121.535756,29.886736,2026/3/25 23:34
V05_5,5,1,5,20,134.4,104.8,41,71,10,NO,YES,33.8,0,30,98.3,20,121.535756,29.888093,2026/3/25 23:34
V04_4,4,2,4,40,142.5,106.3,141,171,10,YES,NO,0,34.7,30,98.2,40,121.535756,29.885831,2026/3/25 23:34
V07_7,7,1,47,10,127.8,107.2,45,75,10,NO,YES,32.2,0,30,98.2,30,121.526433,29.87,2026/3/25 23:34
V06_6,6,1,36,40,143.4,115.7,43,73,10,NO,YES,42.7,0,30,98,60,121.559064,29.888093,2026/3/25 23:34
V07_7,7,2,17,20,144.4,115.7,149,179,10,YES,NO,0,33.3,30,98.1,20,121.525397,29.87,2026/3/25 23:34
V10_10,10,1,15,20,131,117.8,58,88,10,NO,YES,29.8,0,30,98.2,20,121.526433,29.867738,2026/3/25 23:34
V06_6,6,2,35,20,160,124.1,139,169,10,YES,NO,0,14.9,30,97.8,20,121.5601,29.888093,2026/3/25 23:34
V09_9,9,1,33,10,171.6,137.6,51,81,10,NO,YES,56.6,0,30,97.8,10,121.569424,29.860954,2026/3/25 23:34
